ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"193.29.62.48","elite","AS63473","US","HostHatch","109","HostHatch LLC","22826","socks4","1","92","2369","2583","2025-04-08T12:48:03.995Z","384"
"103.224.48.41","elite","N/A","IN","R TECHNOLOGIES","191","N/A","31433","socks4","1","99","2601","2637","2025-04-08T12:48:03.996Z","3904"
"1.15.62.12","elite","AS45090","CN","Tencent Cloud Computing (Beijing) Co. Ltd.","232","Tencent Cloud Computing (Beijing) Co. Ltd.","5678","socks4","1","29","806","2761","2025-04-08T12:48:03.985Z","1897"
"171.243.26.71","elite","AS7552","VN","Viettel Corporation","198","VIETEL","5307","socks5","1","66","1700","2595","2025-04-08T12:48:03.985Z","4707"
"66.207.184.73","elite","AS7029","US","Windstream Communications LLC","93","Voce Telecom, LLC","5432","socks4","1","98","9125","9344","2025-04-08T12:47:38.098Z","4108"
"132.148.128.8","elite","AS398101","US","GoDaddy.com, LLC","141","GoDaddy.com, LLC","17532","socks4","1","100","1699","1702","2025-04-08T12:47:38.182Z","4775"
"161.35.179.193","elite","AS14061","US","DigitalOcean, LLC","88","DigitalOcean, LLC","59761","socks5","1","100","9341","9374","2025-04-08T12:47:38.099Z","4289"
"194.31.33.50","elite","AS12741","PL","Netia SA","20","SOFTDESK POLSKA Sp. z o.o","1080","socks4","1","99","9276","9412","2025-04-08T12:47:38.183Z","796"
"110.243.2.186","elite","AS4837","CN","China Unicom Hebei Province Network","189","N/A","9999","socks4","1","78","7350","9376","2025-04-08T12:47:38.183Z","378"
"43.242.242.140","elite","AS17882","MN","MCS Com Co Ltd","111","OrbitNet LLC","5678","socks4","1","92","8697","9455","2025-04-08T12:46:51.585Z","4608"
"43.153.69.25","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","149","Tencent Cloud Computing","13001","http","15906","88","7","8","2025-04-08T12:46:51.586Z","921"
"206.188.205.113","elite","AS19871","US","Network Solutions, LLC","102","MonsterCommerce, LLC","8447","socks4","1","99","2225","2239","2025-04-08T12:46:51.594Z","1884"
"154.159.243.94","elite","AS36926","KE","Airtel KE Mobile Broadband","222","N/A","4673","socks4","60","41","3937","9489","2025-04-08T12:46:51.581Z","115"
"103.93.177.250","elite","AS133647","IN","Elxire Data Services Pvt. Ltd.","161","Zipcomp","5678","socks4","1","38","3577","9476","2025-04-08T12:46:51.590Z","480"
"46.173.35.229","elite","AS49120","RU","Gorset Ltd.","58","Gorcom Tver Network","3629","socks4","3","93","2558","2747","2025-04-08T12:46:51.593Z","1594"
"218.24.16.198","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","178","N/A","36180","socks4","1","100","845","846","2025-04-08T12:46:51.579Z","1900"
"101.108.193.77","elite","AS23969","TH","TOT Public Company Limited","183","TOT Public Company Limited","4145","socks4","1","60","5627","9348","2025-04-08T12:46:51.597Z","3914"
"185.82.238.203","elite","AS42908","CZ","Nordic Telecom Regional s.r.o.","35","Nordictelecomregional","5678","socks4","1","89","2407","2692","2025-04-08T12:46:51.582Z","1830"
"220.75.111.30","elite","AS4766","KR","Korea Telecom","271","N/A","8080","socks4","1","99","897","906","2025-04-08T12:46:51.582Z","4294"
"185.105.239.31","elite","AS60631","IR","Pars Parva System LLC","88","Pars Parva System LTD","3128","socks4","1","99","9324","9446","2025-04-08T12:46:51.584Z","613"
"203.30.188.247","elite","AS209242","BZ","Cloudflare London, LLC","10","Umpire Associates LTD","80","socks5","1","100","9474","9477","2025-04-08T12:46:51.596Z","2702"
